City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
122,Le Moule,GP,2020-04-17 01:19:06,16.33,-61.35,75.2,88,10,6.93
123,Dikson,RU,2020-04-17 01:19:06,73.51,80.55,-1.75,87,0,10.71
124,Batagay,RU,2020-04-17 01:19:06,67.63,134.63,2.41,86,100,8.75
125,Pouebo,NC,2020-04-17 01:19:06,-20.4,164.57,81.41,67,15,8.48
126,Henties Bay,NA,2020-04-17 01:19:06,-22.12,14.28,55.99,91,11,1.01
127,Sitka,US,2020-04-17 01:19:06,57.05,-135.33,44.6,93,90,5.39
128,Buzuluk,RU,2020-04-17 01:19:07,52.78,52.26,38.28,74,33,12.48
129,Ventspils,LV,2020-04-17 01:19:07,57.39,21.56,39.2,86,55,8.05
130,Adtuyon,PH,2020-04-17 01:19:07,7.81,124.86,78.3,56,64,3.56
131,Saskylakh,RU,2020-04-17 01:19:07,71.92,114.08,-5.73,89,0,3.02
132,Soria,ES,2020-04-17 01:19:07,41.67,-2.67,50.0,94,81,3.0
133,Mahebourg,MU,2020-04-17 01:19:07,-20.41,57.7,75.2,83,40,8.05
134,Katobu,ID,2020-04-17 01:19:07,-4.94,122.53,81.18,81,1,5.7
135,Cortez,US,2020-04-17 01:19:07,37.35,-108.59,57.2,30,75,11.41
136,Yerbogachen,RU,2020-04-17 01:19:07,61.28,108.01,24.01,89,56,10.92
137,Treinta Y Tres,UY,2020-04-17 01:19:07,-33.23,-54.38,59.04,91,53,5.77
138,Beaverlodge,CA,2020-04-17 01:19:07,55.22,-119.44,50.0,43,75,13.87
139,Marsabit,KE,2020-04-17 01:19:07,2.33,37.99,69.21,61,57,17.29
140,Vardo,NO,2020-04-17 01:19:07,70.37,31.11,35.83,85,95,19.73
141,Sorland,NO,2020-04-17 01:19:07,67.67,12.69,37.22,78,100,28.48
142,Bathsheba,BB,2020-04-17 01:19:07,13.22,-59.52,78.8,74,40,16.11
143,Bengkulu,ID,2020-04-17 01:19:07,-3.8,102.27,75.97,89,100,6.4
144,Ayorou,NE,2020-04-17 01:19:07,14.73,0.92,86.95,11,18,11.41
145,Tomatlan,MX,2020-04-17 01:19:07,19.93,-105.25,84.7,31,16,5.68
146,Mujiayingzi,CN,2020-04-17 01:15:32,42.12,118.78,42.73,48,89,19.48
147,Kruisfontein,ZA,2020-04-17 01:19:08,-34.0,24.73,55.45,65,6,3.87
148,Pahalgam,IN,2020-04-17 01:19:08,34.03,75.33,40.17,26,98,5.91
149,Corinto,GR,2020-04-17 01:18:31,37.94,22.96,55.0,42,0,1.48
